 Packet Length Std, Bwd Packet Length Mean,Bwd Packet Length Max, Average Packet Size, Packet Length Variance, Packet Length Mean, Max Packet Length, Bwd Packet Length Std, Avg Bwd Segment Size, Label
525.8385043,421.75,2312,241.84375,276506.1326,234.5151515,2312,709.4011089,421.75,BENIGN
29.51459149,102.0,102,79.75,871.1111111,70.88888889,102,0.0,102.0,BENIGN
356.2251161,0.0,0,617.0,126896.3333,411.3333333,617,0.0,0.0,BENIGN
54.22453319,136.0,136,95.75,2940.3,76.6,136,0.0,136.0,BENIGN
49.84275273,125.0,125,88.0,2484.3,70.4,125,0.0,125.0,BENIGN
31.13197713,113.5,117,99.75,969.2,79.8,117,4.949747468,113.5,BENIGN
84.52462897,27.85714286,384,25.53333333,7144.412903,24.70967742,384,102.5174335,27.85714286,BENIGN
58.88972746,152.0,152,126.0,3468.0,84.0,152,0.0,152.0,BENIGN
523.5270336,770.8,1460,325.6153846,274080.5549,302.3571429,1460,673.8094686,770.8,BENIGN
38.4743782,104.0,104,71.375,1480.277778,63.44444444,104,0.0,104.0,BENIGN
558.1292861,0.0,0,509.5,311508.3,407.6,1019,0.0,0.0,BENIGN
941.5207099,1287.455696,3378,816.8692308,886461.2472,813.7394636,3378,936.3690382,1287.455696,BENIGN
511.8529479,325.5625,2283,169.8787879,261993.4403,164.8823529,2283,720.1606273,325.5625,BENIGN
2044.725914,6.888888889,20,778.7333333,4180904.062,730.0625,7215,5.30199124,6.888888889,BENIGN
507.0952104,621.6666667,1448,312.3571429,257145.5524,291.5333333,1448,674.2301289,621.6666667,BENIGN
131.1708809,202.5,344,137.0,17205.8,109.6,344,200.1112191,202.5,BENIGN
31.94056981,98.5,120,86.0,1020.2,68.8,120,30.40559159,98.5,BENIGN
586.0012736,640.5,2091,276.9375,343397.4926,260.6470588,2091,905.8670432,640.5,BENIGN
98.79434011,26.33333333,193,37.88888889,9760.321637,35.89473684,403,62.51399843,26.33333333,BENIGN
1044.936736,1196.454545,3755,634.2272727,1091892.783,606.6521739,3755,1284.671815,1196.454545,BENIGN
194.9072973,226.75,479,153.6,37988.85455,139.6363636,479,259.4216324,226.75,BENIGN
138.3098862,55.63636364,436,57.44,19129.62462,55.23076923,535,133.428837,55.63636364,BENIGN
600.8285921,709.5185185,1776,383.0363636,360994.9971,376.1964286,1776,723.6582476,709.5185185,BENIGN
454.0589223,359.6428571,1460,231.8214286,206169.5049,223.8275862,1460,569.0873405,359.6428571,BENIGN
450.2140641,375.4545455,1460,244.0,202692.7036,233.3913043,1460,582.4904057,375.4545455,BENIGN
107.3871501,0.0,0,232.5,11532.0,155.0,217,0.0,0.0,BENIGN
437.7581633,427.875,1460,283.1428571,191632.2095,264.2666667,1460,549.5170445,427.875,BENIGN
748.2490345,766.8888889,1992,522.8823529,559876.6176,493.8333333,1992,855.7536802,766.8888889,BENIGN
377.4537815,244.0,976,224.2857143,142471.3571,196.25,976,488.0,244.0,BENIGN
958.4340588,700.2222222,1713,723.7333333,918595.8452,700.3870968,2934,691.846681,700.2222222,BENIGN
143.5043553,6.0,6,143.4,20593.5,119.5,302,0.0,6.0,BENIGN
35.73093897,119.5,125,101.0,1276.7,80.8,125,7.778174593,119.5,BENIGN
210.1051324,0.0,0,105.8,44144.16667,88.16666667,517,0.0,0.0,BENIGN
230.568217,103.5625,553,112.7777778,53161.7027,109.7297297,620,222.6527846,103.5625,BENIGN
236.3385888,111.6666667,246,172.05,55855.92857,163.8571429,600,126.7428499,111.6666667,BENIGN
48.49742261,140.0,140,126.0,2352.0,84.0,140,0.0,140.0,BENIGN
685.9616173,796.0833333,2824,467.8695652,470543.3404,457.9148936,2824,817.0749482,796.0833333,BENIGN
416.2073482,357.5833333,1418,202.9583333,173228.5567,194.84,1418,563.5626058,357.5833333,BENIGN
88.01672821,217.0,217,139.75,7746.944444,124.2222222,217,0.0,217.0,BENIGN
1460.382073,13.0,20,1162.7,2132715.8,1057.0,4380,9.899494937,13.0,BENIGN
49.23616557,107.5,156,86.0,2424.2,68.8,156,68.58935778,107.5,BENIGN
948.5296712,1026.785714,4140,630.2553191,899708.5372,617.125,4140,1067.101035,1026.785714,BENIGN
667.6768574,601.0,2860,263.9444444,445792.386,250.0526316,2860,1048.809961,601.0,BENIGN
1191.098619,1864.410714,4344,1067.878788,1418715.919,1057.2,4344,1017.715048,1864.410714,BENIGN
361.4668106,220.1190476,1125,334.5,130658.2551,330.04,1125,272.7260041,220.1190476,BENIGN
45.61067127,123.0,123,105.5,2080.333333,70.33333333,123,0.0,123.0,BENIGN
30.12474066,86.0,86,66.25,907.5,53.0,86,0.0,86.0,BENIGN
73.32348419,189.0,189,156.5,5376.333333,104.3333333,189,0.0,189.0,BENIGN
1421.775568,287.7916667,2860,661.1956522,2021445.766,647.1276596,7249,667.237392,287.7916667,BENIGN
356.7322926,227.75,911,213.4285714,127257.9286,186.75,911,455.5,227.75,BENIGN
1014.327612,1550.090909,2860,886.4358974,1028860.504,875.2151899,2860,901.1319966,1550.090909,BENIGN
518.7279588,755.6,1418,304.8571429,269078.6952,284.5333333,1418,716.6162153,755.6,BENIGN
23.90955179,95.0,95,70.0,571.6666667,60.0,95,0.0,95.0,BENIGN
47.33115354,142.0,142,84.83333333,2240.238095,72.71428571,142,0.0,142.0,BENIGN
